"Category","Term","TF","DF"
"Date","十年","1","1"
"Comment","Mytranslationofthispassage","33","33"
"Date","武德","1","1"
"CommentItem","Mytranslationofthispassage","33","0"
"Comment","Someeditorialnotehere","1","1"
"Office","宰相","2","2"
"Date","貞觀九年","1","1"
"Office","刺史","12","5"
"Office","侍中","9","8"
"Office","太子","8","5"
"Office","功臣","7","5"
"Office","都督","7","5"
"Office","司空","6","6"
"Office","縣令","6","2"
"Office","中書令","5","5"
"Office","尚書","5","3"
"Office","特進","4","4"
"Office","皇太子","4","2"
"Office","使臣","4","3"
"Office","諫議大夫","4","4"
"Office","御史大夫","4","4"
"Office","大臣","4","4"
"Office","右丞","4","2"
"Office","吏部尚書","3","3"
"Office","三品","3","1"
"Office","兵部尚書","3","3"
"Office","總管","3","2"
"Office","越王","3","1"
"Office","使者","3","3"
"Office","黃門侍郎","3","3"
"Office","國公","3","1"
"Office","皇后","3","2"
"Office","給事中","3","3"
"Office","宗室","3","2"
"Office","春宮","3","3"
"Office","美人","2","1"
"Office","中書舍人","2","2"
"Office","知政事","2","1"
"Office","司徒","2","2"
"Office","散騎常侍","2","2"
"Office","長史","2","1"
"Office","禮部尚書","2","2"
"Office","尚書右僕射","2","2"
"Office","左僕射","2","2"
"Office","戶部尚書","2","2"
"Office","右僕射","2","2"
"Office","官人","2","2"
"Office","留守","2","2"
"Office","太子右庶子","2","2"
"Office","郎中","2","1"
"Office","諫官","2","2"
"Office","尚書右丞","2","2"
"Office","北門","2","1"
"Office","近習","2","1"
"Office","秘書監","2","2"
"Office","法司","2","1"
"Office","省官","2","1"
"Office","記室","2","2"
"Office","僕射","2","1"
"Office","監修國史","2","1"
"Office","尚書左僕射","2","2"
"Office","尚書省","2","2"
"Office","太子左庶子","2","2"
"Office","侍御史","2","2"
"Office","八座","1","1"
"Office","引見","1","1"
"Office","郡公","1","1"
"Office","治書侍御史","1","1"
"Office","內臣","1","1"
"Office","秦王","1","1"
"Office","太尉","1","1"
"Office","衛士","1","1"
"Office","丞相","1","1"
"Office","東宮","1","1"
"Office","太子舍人","1","1"
"Office","二千石","1","1"
"Office","時相","1","1"
"Office","將相","1","1"
"Office","通事舍人","1","1"
"Office","郡守","1","1"
"Office","朝堂","1","1"
"Office","西監","1","1"
"Office","鸞輿","1","1"
"Office","臺使","1","1"
"Office","太常卿","1","1"
"Office","著作郎","1","1"
"Office","秘書少監","1","1"
"Office","中書侍郎","1","1"
"Office","吏部","1","1"
"Office","郡王","1","1"
"Office","宮人","1","1"
"Office","縣長","1","1"
"Office","食邑","1","1"
"Office","三公","1","1"
"Office","明王","1","1"
"Office","爭臣","1","1"
"Office","太守","1","1"
"Office","大官","1","1"
"Office","監察御史","1","1"
"Office","直門下省","1","1"
"Office","中郎將","1","1"
"Office","太子詹事","1","1"
"Office","大夫","1","1"
"Office","大都督府","1","1"
"Office","漢王","1","1"
"Office","三軍","1","1"
"Office","大將軍","1","1"
"Office","右武侯","1","1"
"Office","供奉","1","1"
"Office","舒國公","1","1"
"Office","司苑","1","1"
"Office","左武侯大將軍","1","1"
"Office","起居","1","1"
"Office","司農","1","1"
"Office","文館","1","1"
"Office","衛國公","1","1"
"Office","大總管","1","1"
"Office","少卿","1","1"
"Office","光祿大夫","1","1"
"Office","司戶","1","1"
"Office","副將","1","1"
"Office","將軍","1","1"
"Office","公主","1","1"
"Office","鴻臚卿","1","1"
"Office","代國公","1","1"
"Office","四方","1","1"
"Office","光祿卿","1","1"
"Office","檢校","1","1"
"Office","刑部尚書","1","1"
"Office","大都督府長史","1","1"
"Office","中人","1","1"
"Office","丞","1","1"
"Office","書奏","1","1"
"Office","參預政事","1","1"
"Office","尚書左右丞","1","1"
"Office","禮部侍郎","1","1"
"Office","中允","1","1"
"Office","中使","1","1"
"Office","左丞","1","1"
"Office","知門下事","1","1"
"Office","太子太師","1","1"
"Office","皇孫","1","1"
"Office","知門下省事","1","1"
"Office","南衙","1","1"
"Office","散官","1","1"
"Office","鄭國公","1","1"
