"Category","Corpus","Filename","Title","Source","Passageid","TermsCount","TotalOccur","TermList","Detail"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0001","ZGZY-Juan02-markus_p0001","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0002","ZGZY-Juan02-markus_p0002","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0004","ZGZY-Juan02-markus_p0004","ZGZY-Juan02-markus","1","1","1","Someeditorialnotehere","Someeditorialnotehere(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0005","ZGZY-Juan02-markus_p0005","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0006","ZGZY-Juan02-markus_p0006","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0007","ZGZY-Juan02-markus_p0007","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0008","ZGZY-Juan02-markus_p0008","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0009","ZGZY-Juan02-markus_p0009","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0010","ZGZY-Juan02-markus_p0010","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0011","ZGZY-Juan02-markus_p0011","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0012","ZGZY-Juan02-markus_p0012","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0013","ZGZY-Juan02-markus_p0013","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0014","ZGZY-Juan02-markus_p0014","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0015","ZGZY-Juan02-markus_p0015","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0016","ZGZY-Juan02-markus_p0016","ZGZY-Juan02-markus","1","1","1","Mytranslationofthispassage","Mytranslationofthispassage(1)"
