"Category","Corpus","Filename","Title","Source","Passageid","Term","Category","CbdbId","Term","RefId","Type","Frequency"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0001","ZGZY-Juan02-markus_p0001","ZGZY-Juan02-markus","1","Mytranslationofthispassage","","","","","","1"
"CommentItem","貞觀政要樣本","ZGZY_Juan02_markus_p0001","ZGZY-Juan02-markus_p0001","ZGZY-Juan02-markus","1","Mytranslationofthispassage","TRANS","","","","","1"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0002","ZGZY-Juan02-markus_p0002","ZGZY-Juan02-markus","1","Mytranslationofthispassage","","","","","","1"
"CommentItem","貞觀政要樣本","ZGZY_Juan02_markus_p0002","ZGZY-Juan02-markus_p0002","ZGZY-Juan02-markus","1","Mytranslationofthispassage","TRANS","","","","","1"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","Mytranslationofthispassage","","","","","","1"
"CommentItem","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","Mytranslationofthispassage","TRANS","","","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","房玄齡","","17130","cbdb_17130","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","杜如晦","","30864","cbdb_30864","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","魏徵","","15610","cbdb_15610","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","王珪","","33013","cbdb_33013","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","李靖","","31312","cbdb_31312","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","虞世南","","22793","cbdb_22793","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","李勣","","24408","cbdb_24408","","","1"
"PersonName","貞觀政要樣本","ZGZY_Juan02_markus_p0003","ZGZY-Juan02-markus_p0003","ZGZY-Juan02-markus","1","馬周","","20679","cbdb_20679","","","1"
"Comment","貞觀政要樣本","ZGZY_Juan02_markus_p0004","ZGZY-Juan02-markus_p0004","ZGZY-Juan02-markus","1","Someeditorialnotehere","","","","","","1"
"CommentItem","貞觀政要樣本","ZGZY_Juan02_markus_p0004","ZGZY-Juan02-markus_p0004","ZGZY-Juan02-markus","1","Someeditorialnotehere","EDITORIAL NOTE","","","","","1"
